"nome_arquivo","latitude","longitude"
"5PR0476",-25.4408,-54.4031
"5PR0477",-25.4333,-49.8167
"5PR0478",-25.4333,-49.2667
"5PR0479",-25.4333,-48.7667
"5PR0480",-25.4222,-52.8367
"5PR0481",-25.4181,-49.3869
"5PR0482",-25.4167,-53.1833
"5PR0483",-25.4167,-52.4167
"5PR0484",-25.4133,-54.0372
"5PR0485",-25.4,-53.5667
"5PR0486",-25.4,-52.4167
"5PR0487",-25.3953,-53.1044
"5PR0488",-25.3944,-53.3847
,-25.3928,-52.9644
"5PR0490",-25.3856,-52.77
"5PR0491",-25.3831,-48.8667
"5PR0492",-25.3806,-52.2006
"5PR0493",-25.3797,-51.0828
"5PR0494",-25.3667,-52.1167
"5PR0495",-25.3667,-50.4667
"5PR0496",-25.3519,-49.3447
"5PR0497",-25.35,-53.55
"5PR0498",-25.35,-49.5167
"5PR0499",-25.3458,-54.2442
"5PR0500",-25.3333,-50.7667
"5PR0501",-25.3167,-50
"5PR0502",-25.3167,-49.3
"5PR0503",-25.3069,-54.4125
"5PR0504",-25.3064,-53.8731
"5PR0505",-25.3,-52.5333
"5PR0506",-25.3,-51.4333
"5PR0507",-25.2911,-49.5183
"5PR0508",-25.2875,-49.2306
"5PR0509",-25.2833,-51.1
"5PR0510",-25.2667,-51.25
"5PR0511",-25.2667,-48.3
"5PR0512",-25.25,-51.55
"5PR0513",-25.25,-49.15
"5PR0514",-25.25,-49.3
"5PR0515",-25.24,-53.9753
"5PR0516",-25.2375,-50.6006
"5PR0517",-25.2372,-50.9608
,-25.2333,-49.6333
"5PR0519",-25.2333,-48.75
"5PR0520",-25.2331,-48.4167
"5PR0521",-25.2225,-52.4311
"5PR0522",-25.2167,-53.05
"5PR0523",-25.2114,-52.6517
"5PR0524",-25.2,-53.1333
"5PR0525",-25.2,-50.8
"5PR0526",-25.2,-49.1167
,-25.2,-48.4667
"5PR0528",-25.1997,-51.9908
"5PR0529",-25.1697,-48.8794
"5PR0530",-25.1667,-53.3667
"5PR0531",-25.15,-53.6167
"5PR0532",-25.15,-51.0667
"5PR0533",-25.15,-50.9833
"5PR0534",-25.1333,-50.15
"5PR0535",-25.1333,-49.9
"5PR0536",-25.1331,-53.3167
"5PR0537",-25.1331,-53.85
"5PR0538",-25.1331,-49.55
"5PR0539",-25.1122,-52.2583
"5PR0540",-25.1094,-54.3997
"5PR0541",-25.1092,-51.8064
"5PR0542",-25.1,-53.0667
"5PR0543",-25.0872,-54.2481
"5PR0544",-25.0833,-52.8833
"5PR0545",-25.0833,-48.8333
"5PR0546",-25.0833,-48.6
"5PR0547",-25.0831,-48.2167
"5PR0548",-25.0756,-50.3889
"5PR0549",-25.0667,-48.5667
"5PR0550",-25.0661,-53.8822
"5PR0551",-25.0653,-49.1236
"5PR0552",-25.0453,-54.0556
"5PR0553",-25.0406,-51.5442
"5PR0554",-25.0333,-50.7833
"5PR0555",-25.0167,-50.85
"5PR0556",-25.0167,-50.85
"5PR0557",-25,-49.65
"5PR0558",-24.9831,-50.2667
"5PR0559",-24.9772,-54
"5PR0560",-24.9667,-49.4667
"5PR0561",-24.9667,-49.0831
"5PR0562",-24.9628,-53.2439
"5PR0563",-24.9575,-50.8917
"5PR0564",-24.95,-50.3833
"5PR0565",-24.95,-50
"5PR0566",-24.95,-49.3
"5PR0567",-24.9472,-52.5978
"5PR0568",-24.9375,-49.8242
"5PR0569",-24.9333,-51.6333
"5PR0570",-24.9333,-51.8833
"5SP0571",-24.9333,-47.95
"5PR0572",-24.9167,-51.3667
"5PR0573",-24.9083,-51.6578
"5PR0574",-24.9061,-54.2014
"5PR0575",-24.8858,-52.4739
"5PR0576",-24.8844,-52.2028
"5PR0577",-24.8831,-53.0667
,-24.8667,-50.65
"5PR0579",-24.8592,-51.0089
"5PR0580",-24.85,-52.75
"5PR0581",-24.85,-49.4667
"5PR0582",-24.8433,-49.2733
"5PR0583",-24.8333,-51.15
"5PR0584",-24.8331,-51.2831
"5PR0585",-24.8,-53.3
"5PR0586",-24.8,-52.7
"5PR0587",-24.8,-49.2833
"5SP0588",-24.8,-47.8667
"5PR0589",-24.7792,-51.9544
"5PR0590",-24.7789,-54.2394
"5PR0591",-24.7753,-53.9017
"5PR0592",-24.7744,-49.7
"5PR0593",-24.7722,-53.6425
"5PR0594",-24.7667,-50.0667
"5PR0595",-24.7592,-51.6219
"5PR0596",-24.7564,-48.9681
"5PR0597",-24.75,-51.7667
"5PR0598",-24.75,-49.3333
,-24.75,-48.4831
"5SP0600",-24.75,-48.5
"5PR0601",-24.7489,-52.7019
"5PR0602",-24.7333,-53.7167
"5PR0603",-24.7167,-53.85
"5PR0604",-24.7167,-48.75
"5SP0605",-24.7167,-48.1167
"5SP0606",-24.7167,-47.8833
"5SP0607",-24.7,-47.5667
"5PR0608",-24.6925,-54.2325
"5SP0609",-24.6833,-47.9997
"5PR0610",-24.6831,-50.3
"5PR0611",-24.6689,-50.935
,-24.6556,-48.9997
,-24.65,-50.85
"5PR0614",-24.6481,-54.2983
"5PR0615",-24.6411,-51.7581
"5PR0616",-24.6333,-53.1
"1PR0617",-24.6331,-50.1331
"5PR0618",-24.6331,-49.6831
"5PR0619",-24.6211,-52.9347
"5PR0620",-24.62,-53.9261
"5PR0621",-24.6167,-51.2667
"5PR0622",-24.6167,-51.8333
"5SP0623",-24.6167,-49.05
,-24.6111,-53.6142
"5PR0625",-24.6,-52.2667
"5SP0626",-24.6,-48.2167
"5SP0627",-24.6,-47.8833
"5PR0628",-24.5997,-52.8042
"5SP0629",-24.5886,-48.5911
"5PR0630",-24.5731,-53.38
"5PR0631",-24.5694,-51.1531
,-24.5669,-49.4194
"5SP0633",-24.5667,-49.1667
"5PR0634",-24.565,-51.3314
"5PR0635",-24.55,-54.2167
"5SP0636",-24.55,-48.6833
"5SP0637",-24.55,-48.4333
"5PR0638",-24.5333,-52.9833
"5SP0639",-24.5333,-47.5333
"5PR0640",-24.5292,-49.9289
"5PR0641",-24.5167,-53.1667
"5PR0642",-24.5167,-51.6667
"5SP0643",-24.5167,-48.85
"1PR0644",-24.5108,-50.4
"5PR0645",-24.5006,-52.2436
"5PR0646",-24.5003,-49.7264
"5PR0647",-24.5,-52.05
"5SP0648",-24.5,-47.85
,-24.4919,-50.8186
,-24.4833,-47.25
"5PR0651",-24.45,-54.1667
"5SP0652",-24.4333,-48.5833
"5PR0653",-24.4331,-52.55
"5PR0654",-24.4167,-53.8167
"5PR0655",-24.4167,-52.2
"5PR0656",-24.4167,-52.1
"5PR0657",-24.4167,-51.9333
"5PR0658",-24.4167,-50.9667
"5PR0659",-24.4,-53.15
"5PR0660",-24.3919,-53.9325
"5PR0661",-24.3831,-49.5831
"5PR0662",-24.3667,-51.5
"1PR0663",-24.3667,-50.1
"5PR0664",-24.3531,-51.6914
"5SP0665",-24.35,-47.7167
"5PR0666",-24.3444,-51.4239
"5PR0667",-24.3333,-50.6167
"5SP0668",-24.3333,-47.2
"5PR0669",-24.3331,-52.9331
"5SP0670",-24.3208,-47.6244
"5PR0671",-24.3167,-54.2167
"5PR0672",-24.3167,-52.65
"5PR0673",-24.3167,-51.3
"5SP0674",-24.3167,-47
"5PR0675",-24.2928,-52.0769
"5SP0676",-24.2889,-47.1772
"5SP0677",-24.2833,-47.2333
"5SP0678",-24.2833,-47.95
"5PR0679",-24.2831,-53.3167
"5PR0680",-24.2831,-52.2667
"5PR0681",-24.2831,-52.5167
,-24.2819,-47.4664
"5SP0683",-24.2667,-48.4167
"5SP0684",-24.2667,-48.9
"5SP0685",-24.2667,-47.1667
"1PR0686",-24.2642,-49.7317
"1PR0687",-24.2586,-50.0839
"5PR0688",-24.25,-51.5333
"5PR0689",-24.25,-51.65
"5SP0690",-24.2497,-47.3831
"5PR0691",-24.2347,-52.4025
,-24.2333,-49.7
"5PR0693",-24.2167,-50.2331
"5SP0694",-24.2167,-48.7667
,-24.2108,-47.6083
"5PR0696",-24.2094,-50.9244
"5PR0697",-24.2,-53.3333
"5PR0698",-24.1983,-53.5256
,-24.1978,-47.4883
"5PR0700",-24.1933,-53.0319
"5PR0701",-24.1833,-51.4333
"5SP0702",-24.1833,-46.8
"5PR0703",-24.1667,-54.1
"5PR0704",-24.1667,-53.7333
"5SP0705",-24.1667,-47.65
"5SP0706",-24.15,-47.2833
"5PR0707",-24.1333,-52.7667
"5PR0708",-24.1144,-51.7342
"5PR0709",-24.1058,-51.4822
"1PR0710",-24.1,-49.4667
"5SP0711",-24.1,-47.6833
"5PR0712",-24.0906,-52.6214
"5SP0713",-24.0833,-46.6167
"5PR0714",-24.0831,-53.95
"5PR0715",-24.0667,-49.65
"5PR0716",-24.05,-52.3667
"5PR0717",-24.05,-51.6167
"1SP0718",-24.05,-49.1
"5SP0719",-24.05,-47.9997
"5SP0720",-24.05,-47.5833
"5PR0721",-24.0472,-52.3675
,-24.0333,-50.0833
"5SP0723",-24.0333,-46.55
"5PR0724",-24.0322,-50.6925
